id,date,hap,fdate,saledate,saleval,fdummy,sdummy,spell
054.24.21.043.00,6/1/14,0,,11/1/17,9.903487553,0,1,41
054.24.23.011.00,6/1/14,0,,,10.1266311,0,0,60
054.42.03.033.00,6/1/14,0,,1/1/17,8.517193191,0,1,31
055.11.29.005.00,6/1/14,0,,,10.46310334,0,0,60
055.12.02.067.00,6/1/14,0,,8/1/17,10.32875529,0,1,38
055.12.02.067.00,6/1/14,0,12/1/17,,10.32875529,1,0,42
055.12.05.029.00,6/1/14,0,,,9.952277717,0,0,60
055.12.23.007.00,6/1/14,0,,10/1/17,9.546812609,0,1,40
055.12.23.007.00,6/1/14,0,3/1/18,,9.546812609,1,0,45
055.12.23.023.00,6/1/14,0,,,6.907755279,0,0,60
055.13.05.008.00,6/1/14,0,,,8.29404964,0,0,60
055.13.15.038.00,6/1/14,0,,,11.67419361,0,0,60
055.14.22.013.00,6/1/14,0,,10/1/18,11.66134547,0,1,52
055.20.08.005.00,6/1/14,0,7/1/14,,11.25544923,1,0,1
055.20.08.005.02,6/1/14,1,,4/1/17,11.40756495,0,1,34
055.20.08.005.02,6/1/14,1,,8/1/15,11.40756495,0,1,14
055.21.01.106.00,6/1/14,0,,9/1/15,11.79282735,0,1,15
055.21.01.106.00,6/1/14,0,,10/1/16,11.79282735,0,1,28
055.21.01.119.00,6/1/14,0,,11/1/18,11.6784399,0,1,53
055.21.01.122.00,6/1/14,0,,11/1/18,11.77143616,0,1,53
055.21.01.166.00,6/1/14,0,,11/1/18,11.05564061,0,1,53
055.21.01.168.00,6/1/14,0,,11/1/18,11.6784399,0,1,53
055.31.05.019.00,6/1/14,0,,,6.214608098,0,0,60
055.31.10.005.00,6/1/14,0,,12/1/16,8.699514748,0,1,30
055.31.21.015.00,6/1/14,0,,,8.853665428,0,0,60
055.31.22.011.08,6/1/14,0,,4/1/15,11.00209984,0,1,10
055.32.04.077.00,6/1/14,0,,,11.94145585,0,0,60
055.32.17.004.00,6/1/14,0,,,10.73639668,0,0,60
055.32.33.010.00,6/1/14,0,,,8.987196821,0,0,60
055.41.07.015.00,6/1/14,0,,11/1/18,11.9316358,0,1,53
055.41.09.016.00,6/1/14,0,,8/1/18,11.46163217,0,1,50
055.41.09.016.00,6/1/14,0,,9/1/15,11.46163217,0,1,15
055.41.09.016.00,6/1/14,0,,6/1/16,11.46163217,0,1,24
055.41.12.021.00,6/1/14,0,,,11.69524702,0,0,60
055.42.04.005.00,6/1/14,0,3/1/15,,10.73639668,1,0,9
056.11.07.021.00,6/1/14,0,,,11.21182037,0,0,60
056.11.08.062.00,6/1/14,0,,5/1/18,11.39526742,0,1,47
056.12.03.018.00,6/1/14,0,,,,0,0,60
056.12.04.024.00,6/1/14,0,,,10.20359214,0,0,60
056.12.09.008.00,6/1/14,0,8/1/18,,11.04292184,1,0,50
056.13.02.148.00,6/1/14,0,,,11.25285856,0,0,60
056.14.11.007.01,6/1/14,0,,,12.89921983,0,0,60
056.31.11.011.00,6/1/14,0,,,11.22524339,0,0,60
056.31.12.003.00,6/1/14,0,,,10.91508846,0,0,60
056.32.22.034.00,6/1/14,0,,,9.61580548,0,0,60
056.41.03.031.00,6/1/14,0,,4/1/18,11.08367983,0,1,46
056.41.03.075.00,6/1/14,0,,7/1/18,11.15625052,0,1,49
056.41.06.007.00,6/1/14,0,,1/1/16,11.22524339,0,1,19
056.41.06.007.00,6/1/14,0,,8/1/15,11.22524339,0,1,14
056.41.06.007.00,6/1/14,0,,12/1/16,11.22524339,0,1,30
056.43.03.016.00,6/1/14,0,,,11.11988288,0,0,60
056.43.10.004.00,6/1/14,0,8/1/14,,10.86092023,1,0,2
056.43.10.014.00,6/1/14,0,4/1/15,,10.8704714,1,0,10
056.44.05.011.00,6/1/14,0,,,9.61580548,0,0,60
056.44.05.014.00,6/1/14,0,9/1/14,,10.81977828,1,0,3
059.30.10.046.00,6/1/14,0,,,12.50617724,0,0,60
040.10.02.001.00,7/1/14,0,,,9.487972109,0,0,60
040.32.01.003.00,7/1/14,0,,,11.48760766,0,0,60
040.41.12.198.00,7/1/14,0,,4/1/17,11.15625052,0,1,33
040.41.12.198.00,7/1/14,0,,9/1/16,11.15625052,0,1,26
040.41.12.198.00,7/1/14,0,,7/1/15,11.15625052,0,1,12
040.43.02.007.00,7/1/14,0,,,11.00209984,0,0,60
040.43.09.013.00,7/1/14,0,,,8.9226583,0,0,60
040.43.12.012.00,7/1/14,0,,,12.07254125,0,0,60
040.44.03.018.01,7/1/14,0,,,9.082507,0,0,60
040.44.15.019.00,7/1/14,0,,9/1/17,12.23076526,0,1,38
040.44.18.032.00,7/1/14,0,,,10.5941316,0,0,60
041.30.02.006.66,7/1/14,0,,12/1/18,12.84792653,0,1,53
041.30.02.006.66,7/1/14,0,,3/1/15,12.84792653,0,1,8
041.30.02.011.48,7/1/14,0,,,12.94108128,0,0,60
041.33.03.002.00,7/1/14,0,,,11.31447453,0,0,60
041.33.06.029.00,7/1/14,0,,,10.81977828,0,0,60
041.40.30.021.00,7/1/14,0,,,11.66992921,0,0,60
043.00.03.008.00,7/1/14,0,,6/1/17,13.07757519,0,1,35
043.00.03.008.00,7/1/14,0,,9/1/17,13.07757519,0,1,38
043.00.03.008.00,7/1/14,0,,5/1/18,13.07757519,0,1,46
043.00.03.008.01,7/1/14,0,,,13.07757519,0,0,60
044.40.00.002.09,7/1/14,0,,,11.74562323,0,0,60
045.00.01.160.00,7/1/14,0,,,11.70354582,0,0,60
045.00.01.188.00,7/1/14,0,,,11.65181746,0,0,60
045.10.00.004.00,7/1/14,0,,7/1/16,11.00209984,0,1,24
045.10.01.008.00,7/1/14,0,,1/1/17,11.8313792,0,1,30
045.10.01.129.00,7/1/14,0,,,11.74799759,0,0,60
045.10.01.192.00,7/1/14,0,,,11.98915964,0,0,60
045.10.01.203.00,7/1/14,0,,,12.23757131,0,0,60
045.30.00.106.00,7/1/14,0,,9/1/18,10.65725935,0,1,50
045.30.00.263.00,7/1/14,0,,6/1/17,11.60823564,0,1,35
045.30.00.297.00,7/1/14,0,,,11.40756495,0,0,60
045.30.00.346.00,7/1/14,0,,,11.59910316,0,0,60
045.30.00.378.00,7/1/14,0,,5/1/17,11.44035477,0,1,34
045.30.00.440.00,7/1/14,0,,4/1/15,11.51292546,0,1,9
045.30.00.619.00,7/1/14,0,,7/1/15,10.858999,0,1,12
045.30.01.035.00,7/1/14,0,,9/1/17,11.8277362,0,1,38
045.30.01.102.00,7/1/14,0,,,11.77143616,0,0,60
045.40.00.146.00,7/1/14,0,,,11.22657584,0,0,60
045.40.00.186.00,7/1/14,0,,,12.16525065,0,0,60
054.21.02.008.01,7/1/14,0,,7/1/17,12.40901349,0,1,36
054.21.02.008.01,7/1/14,0,,7/1/15,12.40901349,0,1,12
054.21.03.021.00,7/1/14,0,,,11.15625052,0,0,60
054.21.12.023.00,7/1/14,0,,10/1/17,12.30138283,0,1,39
054.21.14.009.00,7/1/14,0,,,11.60823564,0,0,60
054.22.09.013.00,7/1/14,0,,,10.1266311,0,0,60
054.22.12.012.00,7/1/14,0,,3/1/17,11.81303006,0,1,32
054.22.12.012.00,7/1/14,0,,4/1/17,11.81303006,0,1,33
054.22.12.016.00,7/1/14,0,,,11.96400108,0,0,60
054.22.28.001.00,7/1/14,0,,,9.61580548,0,0,60
054.22.34.019.00,7/1/14,0,,,9.210340372,0,0,60
054.23.05.003.00,7/1/14,0,,7/1/17,9.76995616,0,1,36
054.23.15.008.00,7/1/14,0,3/1/15,,10.75149944,1,0,8
054.23.19.027.00,7/1/14,0,,,11.10645986,0,0,60
054.24.12.023.00,7/1/14,0,,7/1/16,11.82554402,0,1,24
054.42.04.034.00,7/1/14,0,,,10.91508846,0,0,60
055.11.19.011.00,7/1/14,0,,,8.242756346,0,0,60
055.11.22.039.00,7/1/14,0,,10/1/18,9.75846178,0,1,51
055.11.25.018.00,7/1/14,0,8/1/14,,10.27505111,1,0,1
055.11.27.014.00,7/1/14,0,,,9.752664663,0,0,60
055.11.30.007.00,7/1/14,0,,,9.740968623,0,0,60
055.11.31.015.00,7/1/14,0,12/1/17,,8.455317788,1,0,41
055.12.14.016.00,7/1/14,0,,,10.89858946,0,0,60
055.12.23.023.00,7/1/14,0,,,6.907755279,0,0,60
055.13.01.019.00,7/1/14,0,,,9.210340372,0,0,60
055.13.10.002.00,7/1/14,0,,,14.05845674,0,0,60
055.14.01.013.00,7/1/14,0,,,10.74935582,0,0,60
055.14.06.005.00,7/1/14,0,,,8.411832676,0,0,60
055.14.16.013.00,7/1/14,0,,,10.59663473,0,0,60
055.14.19.018.00,7/1/14,0,1/1/17,,10.65725935,1,0,30
055.14.21.017.00,7/1/14,0,,,12.54254488,0,0,60
055.20.06.001.04,7/1/14,0,,,11.44571672,0,0,60
055.20.08.005.00,7/1/14,0,,,11.25544923,0,0,60
055.21.01.009.00,7/1/14,0,,4/1/18,9.61580548,0,1,45
055.21.01.111.00,7/1/14,0,,11/1/18,11.44357539,0,1,52
055.21.01.175.00,7/1/14,0,,11/1/18,11.84078933,0,1,52
055.21.10.021.00,7/1/14,0,,,11.45105006,0,0,60
055.23.04.004.00,7/1/14,0,,3/1/17,10.96647266,0,1,32
055.23.08.014.00,7/1/14,0,,,10.35774282,0,0,60
055.23.11.029.00,7/1/14,1,,11/1/16,9.210340372,0,1,28
055.24.03.009.00,7/1/14,0,,2/1/17,9.908475094,0,1,31
055.24.06.017.00,7/1/14,0,,,9.893437217,0,0,60
055.24.08.001.00,7/1/14,0,,,9.893437217,0,0,60
055.31.10.005.00,7/1/14,0,,12/1/16,8.699514748,0,1,29
