id,hap,fdummy,sdummy,spell,saleval
054.23.10.008.00,0,0,1,16,11.14186178
054.23.10.008.00,0,0,1,16,11.14186178
054.23.11.001.01,0,0,1,26,13.52782849
054.23.11.001.02,0,0,1,19,13.52782849
054.23.11.001.03,0,0,1,16,13.52782849
054.23.11.001.04,0,0,1,23,13.52782849
054.23.11.001.05,0,0,1,21,13.52782849
054.23.11.001.06,0,0,1,16,13.52782849
054.23.11.001.07,0,0,1,14,13.52782849
054.23.11.001.08,0,0,0,48,13.52782849
054.23.11.001.09,0,0,1,13,13.52782849
054.23.11.001.10,0,0,1,29,13.52782849
054.23.11.001.11,0,0,1,29,13.52782849
054.23.11.013.00,0,0,0,48,11.58988651
054.23.11.014.00,0,0,0,48,11.22524339
054.23.13.022.00,0,0,0,48,11.22524339
054.23.14.009.00,0,0,0,48,9.798127037
054.23.14.010.00,0,0,0,48,9.798127037
054.23.15.001.00,0,0,0,48,11.56171563
054.23.15.008.00,0,0,0,48,10.66895539
054.23.16.116.00,0,0,0,48,11.8493977
054.23.17.016.00,0,0,1,30,12.66032792
054.23.18.002.00,0,0,0,48,11.22524339
054.23.18.006.00,0,0,0,48,11.92900075
054.23.18.010.00,0,0,0,48,12.25486281
054.23.19.010.00,0,0,1,15,12.54254488
054.23.19.011.00,0,0,0,48,11.33857208
054.23.19.011.01,0,0,0,48,11.37939407
054.23.19.016.00,0,0,1,39,12.44901882
054.23.19.029.00,0,1,0,3,11.10796023
054.23.24.015.00,0,0,0,48,12.23076526
054.23.24.015.00,0,0,0,48,12.23076526
054.23.24.016.00,0,0,0,48,12.25247902
054.23.25.010.01,0,0,0,48,12.61153775
054.23.25.015.00,0,0,0,48,11.91839057
054.23.26.017.00,0,0,0,48,12.44901882
054.23.27.003.00,0,0,0,48,10.29890232
054.24.01.008.00,0,0,0,48,10.30895266
054.24.01.008.00,0,0,0,48,10.30895266
054.24.05.002.00,0,0,0,48,10.91508846
054.24.10.001.00,0,0,0,48,15.70258021
054.24.10.003.00,0,0,0,48,15.70258021
054.24.12.014.00,0,1,0,35,10.59663473
054.24.19.002.00,0,1,0,2,10.83958091
054.24.19.002.00,0,0,0,48,10.83958091
054.24.19.002.00,0,1,0,2,10.83958091
054.24.19.005.00,0,1,0,31,9.116029693
054.24.19.005.00,0,1,0,31,9.116029693
054.24.19.015.00,0,0,0,48,10.1266311
054.24.21.017.00,0,0,1,4,6.907755279
054.24.21.017.00,0,0,1,4,6.907755279
054.24.24.001.00,0,0,0,48,12.10071213
054.24.24.021.00,0,0,0,48,8.517193191
054.24.26.021.00,0,0,0,48,10.46310334
054.42.01.011.00,0,0,0,48,10.46310334
054.42.01.018.00,0,0,1,8,10.1266311
054.42.03.006.00,0,0,0,48,9.011889433
054.42.03.020.00,0,0,0,48,10.30895266
054.42.03.020.00,0,0,0,48,10.30895266
054.42.03.036.00,0,0,0,48,8.517193191
054.42.03.036.00,0,0,0,48,8.517193191
054.42.03.038.00,0,0,0,48,8.517193191
054.42.03.038.00,0,0,0,48,8.517193191
054.42.04.008.00,0,0,0,48,10.20359214
054.42.04.039.00,0,0,0,48,8.070906089
054.42.04.039.00,0,0,0,48,8.070906089
054.42.05.006.00,0,0,0,48,9.210340372
054.42.08.002.00,0,0,0,48,10.01681624
054.42.08.013.00,0,0,0,48,10.01681624
054.42.08.016.00,0,0,0,48,8.517193191
054.42.08.016.00,0,0,0,48,8.517193191
054.42.11.015.00,0,0,0,48,10.01681624
054.42.11.028.00,0,0,0,48,9.61580548
054.42.11.036.00,0,0,0,48,9.903487553
055.11.01.004.00,0,0,0,48,10.66895539
055.11.08.003.00,0,0,0,48,9.798127037
055.11.08.006.00,0,0,1,6,10.14250445
055.11.08.006.00,0,0,1,5,10.14250445
055.11.08.006.00,0,0,1,32,10.14250445
055.11.08.006.00,0,0,1,6,10.14250445
055.11.08.010.00,0,0,0,48,10.91508846
055.11.08.010.00,0,0,0,48,10.91508846
055.11.09.002.00,0,0,0,48,9.392661929
055.11.09.002.00,0,0,0,48,9.392661929
055.11.11.002.00,0,1,0,4,10.82177629
055.11.12.005.00,0,0,0,48,10.34174248
055.11.12.005.00,0,0,0,48,10.34174248
055.11.12.009.00,0,0,0,48,10.53209621
055.11.13.011.00,0,0,0,48,10.46024211
055.11.13.011.00,0,0,0,48,10.46024211
055.11.16.002.00,0,0,1,36,9.903487553
055.11.16.002.00,0,0,1,36,9.903487553
