id,date,hap,fdate,saledate,fdummy,sdummy,spell,saleval,sqft,age
056.11.03.029.00,7/1/14,0,,,0,0,60,10.1266311,7.387090236,4.543294782
056.11.07.048.00,7/1/14,0,,,0,0,60,11.57119437,7.338888134,4.043051268
056.11.08.062.00,7/1/14,0,,5/1/18,0,1,46,11.39526742,7.407924323,4.644390899
056.11.08.063.00,7/1/14,0,,,0,0,60,11.62177987,7.51479976,4.615120517
056.13.02.119.00,7/1/14,0,,,0,0,60,11.24504602,7.492203043,4.574710979
056.13.02.133.00,7/1/14,0,,7/1/15,0,1,12,10.1266311,7.23489842,4.644390899
056.13.06.003.00,7/1/14,0,,,0,0,60,10.46310334,6.98471632,4.17438727
056.13.16.006.00,7/1/14,0,,9/1/17,0,1,38,10.94199592,6.770789424,4.709530201
056.14.14.008.00,7/1/14,0,,,0,0,60,10.46310334,6.947937069,4.852030264
056.14.14.009.00,7/1/14,0,,,0,0,60,10.46310334,7.006695227,4.356708827
056.31.02.014.00,7/1/14,0,,,0,0,60,10.87804719,7.232733136,4.564348191
056.31.18.012.00,7/1/14,0,10/1/14,,1,0,3,10.56100756,6.761572769,4.189654742
056.32.13.015.00,7/1/14,0,,,0,0,60,11.73606902,8.011355109,4.820281566
056.32.13.016.00,7/1/14,0,,,0,0,60,11.08214255,7.076653815,4.521788577
056.32.27.003.00,7/1/14,0,,,0,0,60,11.44571672,7.980023592,4.553876892
056.34.04.013.00,7/1/14,0,,12/1/17,0,1,41,9.717157974,7.468513271,4.564348191
056.34.04.013.00,7/1/14,0,,7/1/18,0,1,48,9.717157974,7.468513271,4.564348191
056.41.04.036.00,7/1/14,0,,7/1/15,0,1,12,8.853665428,7.465082736,4.48863637
056.41.08.002.00,7/1/14,0,,,0,0,60,10.20359214,7.463363046,4.477336814
056.43.10.009.00,7/1/14,0,,,0,0,60,11.28978191,7.639642288,4.663439094
056.44.00.001.10,7/1/14,0,,,0,0,60,11.27720313,7.426549072,4.521788577
059.00.00.003.35,7/1/14,0,,,0,0,60,12.07254125,7.638679824,3.17805383
059.40.00.374.00,7/1/14,0,,,0,0,60,12.1281111,7.867488569,4.127134385
040.14.00.004.00,8/1/14,0,,,0,0,60,9.61580548,6.956545443,4.96284463
040.41.03.006.00,8/1/14,0,,,0,0,60,11.9511804,7.551186867,4.382026635
041.40.02.003.00,8/1/14,0,,,0,0,60,11.14908203,6.98471632,4.025351691
042.30.00.062.00,8/1/14,0,,9/1/18,0,1,49,11.2515607,7.13009851,3.912023005
042.30.00.062.00,8/1/14,0,,11/1/18,0,1,51,11.2515607,7.13009851,3.912023005
045.00.00.018.00,8/1/14,0,,5/1/15,0,1,9,11.19821472,7.531552381,4.043051268
045.00.00.018.00,8/1/14,0,,5/1/15,0,1,9,11.19821472,7.531552381,4.043051268
045.00.01.181.00,8/1/14,0,,,0,0,60,11.84868316,7.299797367,2.995732274
045.30.00.619.00,8/1/14,0,,7/1/15,0,1,11,10.858999,6.856461985,3.871201011
054.22.27.024.00,8/1/14,0,,,0,0,60,11.77528973,7.836369761,4.795790546
054.24.21.015.00,8/1/14,1,,,0,0,60,9.392661929,7.085901464,1.098612289
054.42.11.031.00,8/1/14,0,,2/1/18,0,1,42,9.846917201,7.230563153,4.454347296
055.11.12.009.00,8/1/14,0,,10/1/15,0,1,14,10.95080655,6.551080335,4.727387819
055.12.01.013.00,8/1/14,0,,2/1/17,0,1,30,11.26446411,6.723832441,4.369447852
055.12.01.013.00,8/1/14,0,,6/1/17,0,1,34,11.26446411,6.723832441,4.369447852
055.12.02.081.01,8/1/14,0,,11/1/17,0,1,39,11.55502664,7.526717561,4.48863637
055.12.02.081.01,8/1/14,0,,6/1/18,0,1,46,11.55502664,7.526717561,4.48863637
