"","id","date","saleval"
"409","056.31.10.016.00",2016-06-01,33000
"410","056.32.05.014.00",2016-06-01,85000
"411","056.32.06.015.00",2016-06-01,48500
"412","056.32.10.013.00",2016-06-01,60000
"413","056.33.01.010.00",2016-06-01,67000
"414","056.34.01.028.00",2016-06-01,85000
"415","056.34.04.012.00",2016-06-01,82500
"416","056.34.05.009.00",2016-06-01,15000
"417","056.34.08.004.00",2016-06-01,58500
"418","056.41.01.005.00",2016-06-01,86000
"419","056.41.03.055.00",2016-06-01,67000
"420","056.41.07.010.00",2016-06-01,50000
"421","056.41.07.016.00",2016-06-01,48500
"422","056.42.01.079.00",2016-06-01,104000
"423","056.42.01.080.00",2016-06-01,56600
"424","056.42.01.092.00",2016-06-01,71000
"425","056.43.08.017.00",2016-06-01,23000
"426","056.43.09.019.00",2016-06-01,32000
"427","056.43.10.018.00",2016-06-01,92000
"428","059.20.00.080.00",2016-06-01,70000
"429","059.30.00.128.00",2016-06-01,79000
"430","841.30.02.010.18",2016-06-01,399200
"431","843.00.03.003.30",2016-06-01,129500
"432","843.00.03.007.12",2016-06-01,130500
"433","843.00.03.007.13",2016-06-01,142600
"434","843.00.03.007.22",2016-06-01,164600
"435","843.00.03.007.30",2016-06-01,115600
"436","843.00.03.007.33",2016-06-01,157900
"437","843.00.03.016.35",2016-06-01,104000
"438","854.14.12.003.10",2016-06-01,540000
"439","854.23.25.001.06",2016-06-01,170500
"440","040.00.00.008.03",2016-07-01,16000
"441","040.00.00.019.00",2016-07-01,6000
"442","040.14.06.014.02",2016-07-01,100
"443","040.14.14.021.00",2016-07-01,38000
"444","040.23.02.002.00",2016-07-01,275100
"445","040.41.12.010.00",2016-07-01,95000
"446","040.43.02.009.04",2016-07-01,25000
"447","040.43.02.019.00",2016-07-01,9500
"448","040.43.08.012.00",2016-07-01,47000
"449","040.43.08.014.00",2016-07-01,172000
"450","040.43.09.018.00",2016-07-01,20500
"451","040.43.13.002.00",2016-07-01,150000
"452","040.44.01.039.00",2016-07-01,4200
"453","040.44.10.002.00",2016-07-01,150500
"454","040.44.14.011.00",2016-07-01,170000
"455","040.44.19.003.00",2016-07-01,4500000
"456","040.44.19.013.00",2016-07-01,4500000
"457","041.33.03.006.00",2016-07-01,25000
"458","041.33.08.022.00",2016-07-01,50000
"459","042.30.01.006.00",2016-07-01,238200
"460","043.00.03.008.12",2016-07-01,140000
"461","044.10.00.055.00",2016-07-01,29900
"462","045.00.01.112.00",2016-07-01,92000
"463","045.00.01.193.00",2016-07-01,119900
"464","045.10.00.004.00",2016-07-01,21000
"465","045.10.01.080.03",2016-07-01,159000
"466","045.10.01.183.00",2016-07-01,152500
"467","045.10.01.204.00",2016-07-01,112000
"468","045.10.01.206.00",2016-07-01,155100
"469","045.10.01.261.00",2016-07-01,153000
"470","045.30.00.055.00",2016-07-01,100000
"471","045.30.00.113.00",2016-07-01,73000
"472","045.30.00.181.00",2016-07-01,122500
"473","045.30.00.422.00",2016-07-01,125000
"474","045.30.00.639.00",2016-07-01,85000
"475","045.30.01.117.00",2016-07-01,147000
"476","045.30.01.173.00",2016-07-01,155000
"477","045.40.00.105.00",2016-07-01,132000
"478","054.14.15.005.01",2016-07-01,675000
"479","054.21.03.026.00",2016-07-01,40000
"480","054.21.03.027.00",2016-07-01,40000
"481","054.21.04.029.02",2016-07-01,38000
"482","054.21.06.014.00",2016-07-01,27000
"483","054.21.07.017.00",2016-07-01,220000
"484","054.21.08.006.00",2016-07-01,172500
"485","054.21.13.036.00",2016-07-01,55000
"486","054.21.19.007.02",2016-07-01,314500
"487","054.22.13.009.00",2016-07-01,282000
"488","054.22.13.010.00",2016-07-01,282000
"489","054.22.13.011.00",2016-07-01,282000
"490","054.22.37.007.00",2016-07-01,58700
"491","054.22.38.010.00",2016-07-01,220000
"492","054.22.38.026.00",2016-07-01,187700
"493","054.23.02.007.00",2016-07-01,200000
"494","054.23.02.008.00",2016-07-01,200000
"495","054.23.16.103.00",2016-07-01,4000
"496","054.23.16.106.00",2016-07-01,4000
"497","054.23.25.003.00",2016-07-01,180000
"498","054.23.25.004.00",2016-07-01,180000
"499","054.24.12.023.00",2016-07-01,136000
"500","054.24.19.012.00",2016-07-01,9500
"501","054.24.20.013.00",2016-07-01,70000
"502","054.42.02.011.00",2016-07-01,50000
"503","055.11.05.010.00",2016-07-01,32000
"504","055.11.17.018.00",2016-07-01,40000
"505","055.11.18.013.00",2016-07-01,16000
"506","055.11.26.037.00",2016-07-01,40000
"507","055.11.30.013.00",2016-07-01,88900
"508","055.12.02.032.00",2016-07-01,115000
"509","055.12.03.014.00",2016-07-01,37500
"510","055.12.10.006.01",2016-07-01,123000
"511","055.12.12.015.00",2016-07-01,23000
"512","055.12.14.001.00",2016-07-01,84900
"513","055.13.03.002.00",2016-07-01,42000
"514","055.13.05.017.00",2016-07-01,250000
"515","055.13.11.026.00",2016-07-01,23000
"516","055.13.15.015.00",2016-07-01,50000
"517","055.14.06.016.00",2016-07-01,90000
"518","055.14.19.010.01",2016-07-01,125000
"519","055.20.08.002.00",2016-07-01,115500
"520","055.21.01.137.00",2016-07-01,275400
"521","055.21.01.187.00",2016-07-01,240000
"522","055.21.04.022.00",2016-07-01,23000
