id,date,hap,fdummy,sdummy,spell
054.14.21.001.00,42583,0,0,0,36
054.14.21.001.01,42583,0,0,0,36
054.14.21.001.02,42583,0,0,0,36
054.21.02.003.00,42644,0,0,0,36
054.21.02.003.00,42644,0,0,0,36
054.21.02.004.00,42644,0,0,0,36
054.21.02.004.00,42644,0,0,0,36
054.21.03.006.00,42522,0,0,0,36
054.21.03.026.00,42552,0,0,1,9
054.21.03.027.00,42552,0,0,1,9
054.21.04.009.00,42644,0,0,0,36
054.21.04.029.02,42552,0,0,0,36
054.21.05.001.00,42522,0,0,1,20
054.21.05.010.00,42583,0,0,0,36
054.21.05.017.00,42522,0,0,1,29
054.21.06.014.00,42552,0,0,0,36
054.21.06.023.00,42522,0,0,0,36
054.21.07.017.00,42552,0,0,0,36
054.21.08.006.00,42552,0,0,0,36
054.21.08.012.00,42644,0,0,1,23
054.21.08.012.00,42644,0,0,1,23
054.21.08.019.00,42644,0,0,0,36
054.21.09.003.00,42401,0,0,0,36
054.21.09.003.00,42401,0,0,0,36
054.21.10.002.00,42644,0,0,0,36
054.21.11.020.00,42644,0,0,1,19
054.21.11.020.00,42644,0,0,1,19
054.21.11.021.00,42614,0,0,0,36
054.21.13.017.00,42644,0,0,0,36
054.21.13.017.00,42644,0,0,0,36
054.21.13.036.00,42522,0,0,0,36
054.21.13.036.00,42552,0,0,0,36
054.21.14.004.00,42522,0,0,0,36
054.21.18.009.00,42522,0,0,1,13
054.21.18.009.00,42614,0,0,1,10
054.21.19.007.02,42552,0,0,0,36
054.21.20.009.00,42522,0,0,0,36
054.21.23.002.00,42370,0,0,0,36
054.21.24.005.01,42644,0,0,0,36
054.21.24.011.00,42644,0,0,0,36
054.22.01.007.00,42614,0,0,0,36
054.22.03.002.00,42583,0,0,0,36
054.22.03.004.00,42522,0,0,0,36
054.22.03.007.00,42522,0,0,0,36
054.22.07.024.00,42522,0,0,1,8
054.22.09.018.00,42644,0,0,0,36
054.22.09.018.00,42644,0,0,0,36
054.22.10.004.00,42583,0,0,0,36
054.22.10.004.00,42522,0,1,0,2
054.22.11.027.00,42583,0,0,1,23
054.22.12.002.00,42644,0,0,1,6
054.22.12.002.00,42644,0,0,1,6
054.22.12.024.00,42522,0,0,0,36
054.22.12.033.00,42401,0,0,0,36
054.22.12.033.00,42401,0,0,0,36
054.22.12.035.00,42614,0,0,0,36
054.22.13.009.00,42552,0,0,0,36
054.22.13.010.00,42552,0,0,0,36
054.22.13.011.00,42552,0,0,0,36
054.22.13.014.00,42522,0,0,1,21
054.22.13.017.00,42614,0,0,0,36
054.22.13.017.00,42522,0,0,0,36
054.22.15.007.00,42522,0,1,0,12
054.22.15.008.00,42583,0,0,0,36
054.22.17.005.00,42522,1,0,0,36
054.22.18.010.00,42401,0,0,0,36
054.22.18.010.00,42401,0,0,0,36
054.22.18.033.00,42583,0,0,0,36
054.22.23.003.00,42522,0,0,1,9
054.22.26.014.00,42614,0,0,0,36
054.22.27.018.00,42401,0,0,0,36
054.22.27.018.00,42401,0,0,0,36
054.22.28.006.00,42583,0,0,1,14
054.22.28.022.00,42522,0,0,0,36
054.22.30.005.00,42522,0,0,0,36
054.22.34.021.00,42370,0,0,0,36
054.22.36.001.00,42401,0,0,0,36
054.22.36.001.00,42401,0,0,0,36
054.22.37.002.00,42522,0,0,0,36
054.22.37.007.00,42552,0,0,1,15
054.22.37.007.00,42552,0,0,1,26
054.22.38.010.00,42552,0,0,0,36
054.22.38.026.00,42552,0,0,0,36
054.22.39.001.00,42401,0,0,1,30
054.22.39.001.00,42401,0,0,1,30
054.22.39.003.00,42401,0,0,0,36
054.22.39.003.00,42401,0,0,0,36
054.23.01.007.00,42401,0,0,0,36
054.23.01.007.00,42401,0,0,0,36
054.23.02.007.00,42552,0,0,1,10
054.23.02.008.00,42552,0,0,1,10
054.23.04.015.00,42583,0,0,0,36
054.23.04.015.00,42522,0,0,0,36
054.23.05.022.00,42522,0,0,0,36
054.23.10.008.00,42522,0,0,0,36
054.23.10.010.00,42614,0,0,1,8
054.23.11.001.07,42614,0,0,0,36
054.23.11.001.09,42583,0,0,0,36
054.23.13.003.00,42522,0,0,0,36
054.23.15.007.00,42644,0,0,1,6
054.23.15.007.00,42644,0,0,1,14
054.23.15.011.00,42583,0,0,1,24
054.23.16.103.00,42552,0,0,1,25
054.23.16.106.00,42552,0,0,1,14
054.23.18.020.00,42522,0,0,0,36
054.23.19.007.01,42614,0,0,0,36
054.23.19.010.00,42644,0,0,0,36
054.23.19.023.00,42614,0,0,0,36
054.23.24.007.00,42614,0,0,1,7
054.23.24.010.00,42614,0,0,0,36
054.23.24.018.00,42644,0,0,0,36
054.23.24.018.00,42644,0,0,0,36
054.23.25.003.00,42552,0,0,0,36
054.23.25.004.00,42552,0,0,0,36
054.23.25.012.00,42614,0,0,0,36
054.24.01.002.00,42614,0,0,0,36
054.24.02.005.00,42583,0,0,1,8
054.24.02.006.00,42583,0,0,1,8
054.24.06.018.00,42644,0,0,0,36
054.24.06.018.00,42644,0,0,0,36
054.24.06.019.00,42401,0,0,0,36
054.24.06.019.00,42401,0,0,0,36
054.24.08.006.00,42583,0,0,0,36
054.24.08.009.00,42583,0,0,0,36
054.24.11.012.00,42644,0,0,1,13
054.24.11.012.00,42644,0,0,1,13
054.24.11.013.00,42583,0,0,0,36
054.24.11.014.00,42583,0,0,0,36
054.24.12.023.00,42552,0,0,0,36
054.24.13.002.00,42583,0,0,1,14
054.24.15.008.00,42522,0,0,0,36
054.24.19.012.00,42614,0,0,1,13
054.24.19.012.00,42552,0,0,1,15
054.24.19.027.00,42522,0,0,1,12
054.24.19.027.00,42522,0,0,1,24
054.24.19.027.00,42522,0,0,1,26
054.24.20.013.00,42552,0,0,1,21
054.24.20.015.00,42583,0,0,1,25
054.24.20.015.00,42583,0,0,1,13
054.24.20.022.00,42644,0,0,0,36
054.24.21.011.00,42522,1,0,1,14
054.24.21.017.00,42401,0,0,0,36
054.24.21.017.00,42401,0,0,0,36
054.24.24.020.00,42401,0,1,0,29
054.24.24.020.00,42401,0,1,0,29
054.24.27.026.00,42522,0,0,0,36
054.42.01.010.00,42401,0,0,0,36
054.42.01.010.00,42401,0,0,0,36
054.42.01.018.00,42522,0,0,0,36
054.42.02.011.00,42552,0,0,0,36
054.42.04.021.00,42614,0,0,0,36
054.42.05.017.00,42614,0,1,0,4
054.42.05.043.00,42401,0,0,0,36
054.42.05.043.00,42401,0,0,0,36
054.42.11.002.00,42644,0,0,0,36
055.11.03.032.00,42644,0,0,0,36
055.11.05.010.00,42552,0,0,0,36
055.11.08.006.00,42401,0,0,1,26
055.11.08.006.00,42401,0,0,1,26
055.11.08.006.00,42370,0,0,1,27
055.11.08.007.00,42644,0,1,0,10
055.11.08.007.00,42614,0,1,0,11
055.11.11.004.00,42583,0,0,1,19
055.11.17.018.00,42552,0,0,1,13
055.11.17.018.00,42552,0,0,1,6
055.11.17.023.00,42370,0,0,1,28
055.11.17.038.00,42370,0,0,0,36
055.11.17.040.00,42644,0,0,1,16
055.11.17.045.00,42401,0,0,0,36
055.11.17.045.00,42401,0,0,0,36
055.11.17.049.00,42401,0,0,0,36
055.11.17.049.00,42401,0,0,0,36
055.11.18.013.00,42552,0,0,0,36
055.11.19.002.00,42583,0,0,0,36
055.11.19.005.00,42401,0,0,0,36
055.11.19.005.00,42401,0,0,0,36
055.11.19.008.00,42644,0,0,1,13
055.11.22.023.00,42522,0,0,0,36
055.11.23.012.00,42522,0,0,0,36
055.11.24.029.00,42522,1,0,1,17
055.11.25.010.00,42614,0,0,0,36
055.11.26.037.00,42552,0,0,0,36
055.11.26.041.00,42644,0,0,0,36
055.11.26.041.00,42644,0,0,0,36
055.11.27.001.00,42522,0,0,0,36
055.11.27.024.00,42583,0,0,1,15
055.11.28.006.01,42522,0,0,0,36
055.11.28.006.02,42522,0,0,0,36
055.11.28.008.00,42522,0,0,0,36
055.11.30.002.00,42644,0,0,0,36
055.11.30.013.00,42552,0,0,0,36
055.11.30.021.00,42370,0,0,0,36
055.11.31.006.00,42583,0,0,0,36
055.11.32.028.00,42401,0,0,0,36
055.11.32.028.00,42401,0,0,0,36
055.12.01.008.00,42522,1,0,0,36
055.12.02.032.00,42552,1,0,0,36
055.12.02.043.00,42522,0,0,0,36
055.12.02.061.00,42401,0,0,0,36
055.12.02.061.00,42401,0,0,0,36
055.12.03.009.00,42522,1,0,1,25
055.12.03.014.00,42552,0,0,0,36
055.12.08.010.00,42522,0,0,1,16
055.12.08.010.00,42522,0,0,1,8
055.12.08.012.00,42614,0,0,0,36
055.12.09.026.00,42522,0,0,0,36
055.12.09.028.00,42522,0,0,0,36
055.12.10.001.00,42614,0,0,1,13
055.12.10.001.00,42614,0,0,1,5
055.12.10.006.01,42552,0,0,0,36
055.12.12.015.00,42552,0,0,1,22
055.12.14.001.00,42552,0,0,0,36
055.12.15.003.00,42583,0,0,1,22
055.12.15.003.00,42583,0,0,1,9
055.12.17.014.00,42614,0,0,0,36
055.12.19.019.00,42614,0,1,0,5
055.12.20.024.00,42614,0,0,0,36
055.12.22.014.00,42614,1,0,0,36
055.12.23.020.00,42583,1,0,0,36
055.12.23.033.00,42522,0,0,1,24
055.13.02.013.01,42583,0,0,0,36
055.13.03.002.00,42552,0,0,0,36
055.13.04.004.00,42583,0,0,1,14
055.13.05.002.02,42644,0,1,0,4
055.13.05.017.00,42552,0,0,0,36
055.13.07.027.00,42522,0,0,0,36
055.13.07.028.00,42644,0,0,0,36
055.13.07.030.00,42583,0,0,1,12
055.13.07.032.00,42522,0,0,1,14
055.13.07.032.00,42522,0,0,1,18
055.13.08.004.00,42583,0,0,1,20
055.13.08.004.00,42583,0,0,1,15
055.13.08.005.00,42583,0,0,1,9
055.13.08.005.00,42583,0,0,1,12
055.13.08.005.00,42583,0,0,1,14
055.13.10.001.00,42370,0,0,0,36
055.13.11.011.00,42370,0,0,0,36
055.13.11.026.00,42522,0,0,0,36
055.13.11.026.00,42552,0,0,0,36
055.13.11.038.00,42401,0,0,0,36
055.13.11.038.00,42401,0,0,0,36
055.13.13.017.00,42583,0,1,0,3
