id,hap,fdummy,sdummy,spell,age,sqft,saleval
055.12.09.049.00,1,0,0,48,4.532599493,7.090076836,11.28978191
055.12.09.049.00,1,0,0,48,4.532599493,7.090076836,11.28978191
055.12.10.006.00,0,1,0,5,4.532599493,7.321188557,11.00209984
055.12.10.006.00,0,1,0,5,4.532599493,7.321188557,11.00209984
055.12.10.006.00,0,1,0,5,4.532599493,7.321188557,11.00209984
055.12.10.011.00,0,0,0,48,4.532599493,6.853299093,10.1266311
055.12.12.019.00,0,0,1,21,4.736198448,7.79893331,10.22194128
055.12.13.002.00,0,0,0,48,4.644390899,6.797940413,9.898475011
055.12.13.002.00,0,0,0,48,4.644390899,6.797940413,9.898475011
055.12.19.009.00,0,0,0,48,4.574710979,7.693481641,11.22524339
055.12.19.016.00,1,0,0,48,4.49980967,7.19518732,11.40756495
055.12.19.019.00,0,1,0,16,4.553876892,7.506042179,10.94376426
055.12.19.019.00,0,1,0,16,4.553876892,7.506042179,10.94376426
055.12.20.001.00,0,0,0,48,4.543294782,7.486613313,10.4341158
055.12.20.001.00,0,0,0,48,4.543294782,7.486613313,10.4341158
055.12.21.017.00,0,0,1,31,4.96284463,7.33432935,9.825526011
055.12.21.017.00,0,0,1,31,4.96284463,7.33432935,9.825526011
055.12.21.017.00,0,0,1,31,4.96284463,7.33432935,9.825526011
055.12.22.014.00,1,0,1,12,4.691347882,7.577121931,9.384293679
055.13.03.003.01,0,0,0,48,4.770684624,7.510977752,9.210340372
055.13.04.008.00,0,0,1,27,5.123963979,6.899723107,9.546812609
055.13.07.033.00,0,0,0,48,4.770684624,8.125039097,11.15482093
055.13.07.033.01,0,0,0,48,4.770684624,8.607399459,11.15482093
055.13.09.003.00,0,0,0,48,4.736198448,7.706612914,11.7352687
055.13.13.007.00,0,0,1,25,4.691347882,8.06117136,10.54796956
055.13.15.037.00,0,0,0,48,4.691347882,7.696212639,11.06663836
055.13.16.001.00,0,0,1,28,5.023880521,8.270781013,12.00762171
055.13.16.015.00,0,0,0,48,4.49980967,7.268920128,10.81977828
055.14.01.021.00,0,1,0,6,4.59511985,7.044905117,10.57131693
055.14.02.005.00,0,0,0,48,4.672828834,7.17472431,11.34922937
055.14.02.025.00,0,0,0,48,4.043051268,6.903747258,10.91508846
055.14.03.002.00,0,1,0,1,4.96284463,7.289610521,10.21464198
055.14.03.002.00,0,1,0,1,4.96284463,7.289610521,10.21464198
055.14.03.003.00,0,0,0,48,4.779123493,6.811244379,10.81977828
055.14.18.012.00,0,0,0,48,4.820281566,6.80682936,9.104979856
055.14.18.012.00,0,0,0,48,4.820281566,6.80682936,9.104979856
055.14.19.004.00,0,0,0,48,4.820281566,7.499976541,10.30895266
055.14.19.010.01,0,0,1,14,4.736198448,7.437795122,11.64395373
055.14.19.010.01,0,0,1,14,4.736198448,7.437795122,11.64395373
055.14.22.003.00,0,0,0,48,4.672828834,7.922261058,10.80972795
055.14.23.015.00,0,0,0,48,4.691347882,7.539027056,10.05190756
055.14.23.015.00,0,0,0,48,4.691347882,7.539027056,10.05190756
055.14.24.001.00,0,0,0,48,4.369447852,7.596392304,11.1732481
055.14.24.004.00,0,0,1,27,4.663439094,7.565275282,11.00209984
055.14.24.023.00,0,0,0,48,4.779123493,7.53689713,11.01862914
055.14.24.023.00,0,0,0,48,4.779123493,7.53689713,11.01862914
055.14.25.006.00,0,0,0,48,4.9698133,7.568379268,9.472704636
055.14.26.001.00,0,0,0,48,4.691347882,7.990915463,10.30895266
055.14.26.001.00,0,0,0,48,4.691347882,7.990915463,10.30895266
055.14.26.002.00,0,0,0,48,4.691347882,7.676473646,10.89673933
055.14.26.002.00,0,0,0,48,4.691347882,7.676473646,10.89673933
055.14.27.017.00,0,0,0,48,4.820281566,7.764296006,11.50791292
055.14.27.024.00,0,0,0,48,4.8978398,7.744136628,11.28978191
055.14.27.024.00,0,0,0,48,4.8978398,7.744136628,11.28978191
055.20.02.006.00,0,0,1,14,3.761200116,7.107425474,11.51292546
055.20.02.017.00,0,0,0,48,3.850147602,7.221105098,11.65268741
055.20.03.004.00,0,0,1,43,3.63758616,7.180831199,10.91508846
055.20.03.004.00,0,0,1,43,3.63758616,7.180831199,10.91508846
055.20.03.004.00,0,0,1,43,3.63758616,7.180831199,10.91508846
055.20.03.004.00,0,0,1,43,3.63758616,7.180831199,10.91508846
055.20.06.001.05,0,0,0,48,3.988984047,6.788971743,11.43496392
055.20.08.005.01,0,0,1,31,4.007333185,7.304515946,10.30895266
055.20.08.005.01,0,0,1,31,4.007333185,7.304515946,10.30895266
055.20.08.005.02,1,0,1,20,4.025351691,7.297768283,11.22524339
055.20.10.008.00,0,0,0,48,4.060443011,7.142036575,11.08214255
055.20.10.025.01,1,0,1,10,4.025351691,7.43366654,11.33020383
055.20.10.033.00,0,0,0,48,3.951243719,6.958448393,11.26446411
055.20.10.041.00,0,0,1,25,3.951243719,7.340186835,11.56171563
055.21.01.106.00,0,0,1,13,3.091042453,7.869401713,11.79960704
055.21.01.113.00,0,0,1,43,3.091042453,7.869401713,11.69524702
055.21.01.117.00,0,0,1,38,3.091042453,7.869401713,11.56171563
055.21.01.120.00,0,0,0,48,3.091042453,7.869401713,11.65355659
055.21.01.135.00,0,0,1,38,2.995732274,7.9683195,12.38421883
055.21.01.139.00,0,0,0,48,3.17805383,7.978653729,12.15477935
055.21.01.139.00,0,0,0,48,3.17805383,7.978653729,12.15477935
055.21.01.167.00,0,0,1,44,2.995732274,7.869401713,11.60823564
055.21.01.169.00,0,0,1,45,2.944438979,7.816013839,11.6784399
055.21.01.169.00,0,0,1,45,2.944438979,7.816013839,11.6784399
055.21.01.171.00,0,0,1,37,2.944438979,7.816013839,11.60823564
055.21.01.172.00,0,1,0,12,2.944438979,7.816013839,11.73606902
055.21.02.092.01,0,0,1,40,4.234106505,7.334981879,11.42409425
055.21.02.092.01,0,0,1,40,4.234106505,7.334981879,11.42409425
055.21.03.032.00,0,0,0,48,4.48863637,7.203405521,11.08214255
055.21.05.003.00,0,0,0,48,4.543294782,7.25981961,9.952277717
055.23.04.002.00,0,0,0,48,4.787491743,7.052721049,11.08214255
055.23.07.009.00,0,0,0,48,4.543294782,7.13169851,10.75790288
055.23.08.001.00,0,0,0,48,4.997212274,7.493873887,10.81977828
